"filename", "language", "C++", "CMake", "C", "comment", "blank", "total"
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/CMakeLists.txt", "CMake", 0, 1, 0, 0, 0, 1
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/textures/textures_image_drawing.c", "C", 0, 0, 1, 0, 0, 1
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/include/physics/engine.h", "C++", 1, 0, 0, -1, -2, -2
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/include/physics/grid.h", "C++", 31, 0, 0, 0, 8, 39
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/include/render/renderer.h", "C++", 1, 0, 0, 0, 0, 1
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/src/main.cpp", "C++", 29, 0, 0, 0, 5, 34
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/src/physics/engine.cpp", "C++", 40, 0, 0, 0, 4, 44
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/src/physics/softBodyFactory.cpp", "C++", 0, 0, 0, 42, 4, 46
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/src/render/renderer.cpp", "C++", 5, 0, 0, 1, 0, 6
"Total", "-", 107, 1, 1, 42, 19, 170